LoanNumber,LoanGuid,LoanFolder,ClosingDate
4.00E+14,5d9d4500-b0d6-4d9e-bc72-e3f83051ec1d,Active,5/6/2024 0:00
4.00E+14,3d59ab59-f6e7-434b-8e4d-68fc0b34eb54,Active,5/17/2024 0:00
4.41E+14,5c1ff967-79d1-4960-9535-bafa6e2e8594,Active,6/7/2024 0:00
4.41E+14,153a7b8d-709f-454d-b071-b1e2a8dd7b70,Active,6/27/2024 0:00
4.00E+14,2bf6a480-440b-481c-bc1b-225234b8e39e,Active,7/9/2024 0:00
4.00E+14,f280f532-b9a5-4fff-8dbb-483739a89966,Active,7/12/2024 0:00
4.00E+14,037339d5-0d47-4df5-bcb4-330a72dfd556,Active,7/15/2024 0:00
4.01E+14,120c6ad7-fe9b-4881-82a3-a93320b92cf3,Active,8/1/2024 0:00
4.01E+14,8103c846-1b9e-4095-a4dd-d870a40d9240,Active,8/5/2024 0:00
4.00E+14,b99e6c0b-e873-47f0-8b15-a8c8b08f1fdd,Active,8/6/2024 0:00
4.00E+14,0724976c-3b30-485d-8c29-81f2734a3015,Active,8/9/2024 0:00
4.01E+14,02d5667e-3ba2-4a16-ac0f-cadf023d2cd2,Active,8/9/2024 0:00
4.00E+14,fb8826d1-aa7e-403b-96c6-91f70341935d,Active,8/22/2024 0:00
4.01E+14,02151823-5fb0-413a-a327-72bc622af5cb,Active,8/23/2024 0:00
4.00E+14,02b82028-7288-42bd-be1e-daaab7ac12f4,Active,8/26/2024 0:00
4.00E+14,28deb880-d0e1-457a-9188-3b31fc0e98bb,Active,8/26/2024 0:00
4.00E+14,e6a91900-3941-42dc-b4c8-04fa0e873abc,Active,8/26/2024 0:00
4.00E+14,299c941d-1a82-49d3-9a30-c94e5ecbd49f,Active,8/28/2024 0:00
4.00E+14,8a2ba5ac-c2e0-4e89-8031-0c07b25132d1,Active,8/28/2024 0:00
4.00E+14,36290c91-db94-46eb-83d7-5e0fa64d929b,Active,8/30/2024 0:00
4.00E+14,b6e67505-b509-445c-9a10-0c628a828be3,Active,8/30/2024 0:00
4.00E+14,8e415133-4c22-421a-9538-6061ce8f79eb,Active,8/31/2024 0:00
4.01E+14,bb61a303-0b0e-406a-bb86-64f0c5d3d04b,Active,9/3/2024 0:00
4.41E+14,c85507e3-b74f-4f15-85ab-2356a5a76066,Active,9/5/2024 0:00
4.00E+14,1088c765-80fe-4d66-82e0-5dd48ef857a5,Active,9/9/2024 0:00
4.00E+14,b098515f-941b-4143-827c-54cebd698c42,Active,9/9/2024 0:00
4.00E+14,b922b961-c336-4dd3-8ca6-bfe6a6a8a377,Active,9/10/2024 0:00
4.00E+14,59698b51-1fbb-493a-a3c7-b1e0106bc439,Active,9/10/2024 0:00
4.00E+14,b57ab128-1a85-447d-8aa8-946bd7f7088c,Active,9/10/2024 0:00
4.00E+14,5a69b97b-7540-4b0f-8e36-9d5dd51f894b,Active,9/12/2024 0:00
4.00E+14,ffc63d5b-1c2c-4021-9880-dc1be1cf70c7,Active,9/12/2024 0:00
4.00E+14,701b1c18-d29e-4dfa-9cb9-9a2cb42de1fd,Active,9/13/2024 0:00
4.41E+14,006a07d4-1d01-47f3-9064-ed8322e475db,Active,9/13/2024 0:00
4.00E+14,d5c0901f-2ad5-473b-8eeb-369ac55167e9,Active,9/13/2024 0:00
4.00E+14,db9abce4-c7ea-4580-b898-9d9c801e4400,Active,9/13/2024 0:00
4.00E+14,874794f6-5da5-4882-abf2-7e049602ef7c,Active,9/13/2024 0:00
4.41E+14,662f91e7-847f-4962-808b-7375b2b8c0e4,Active,9/13/2024 0:00
4.01E+14,3b362abc-ed45-41e3-8bdd-562b3ddad5df,Active,9/13/2024 0:00
4.00E+14,caba5282-ddd2-4edf-9c9e-e8f3c55f8c27,Active,9/13/2024 0:00
4.01E+14,d2e13871-4dd1-4a1a-9a79-7d8570d58308,Active,9/16/2024 0:00
4.00E+14,5ffa9243-90cf-4f57-bda8-0c00226c79eb,Active,9/16/2024 0:00
4.00E+14,e4feced3-b485-4373-a0f6-f420fe36b802,Active,9/16/2024 0:00
4.00E+14,d5735d13-5461-451d-b607-1d1673c10b63,Active,9/17/2024 0:00
4.00E+14,7ed686da-341e-46ae-a1c2-e58d6a929b09,Active,9/17/2024 0:00
4.00E+14,0f2a239e-8482-4b20-a9ef-629b8794276a,Active,9/17/2024 0:00
4.81E+14,4f0b3f20-2cc2-4d04-9a13-292e0eaa0d2d,Active,9/18/2024 0:00
4.00E+14,6e30aad3-e89d-4795-9408-8853cd2d4156,Active,9/18/2024 0:00
4.00E+14,ee6fb6ef-161b-4334-bbbe-917ac2b68fc8,Active,9/18/2024 0:00
4.00E+14,0305e081-2d17-42fb-95e2-e699421905a3,Active,9/19/2024 0:00
4.00E+14,7be1a27e-7332-47a9-b9a0-d44138010e72,Active,9/19/2024 0:00
4.01E+14,3eb3d478-e935-43b9-8cf8-71301663fed6,Active,9/19/2024 0:00
4.00E+14,699f2075-3379-45ed-96ac-927569bbdd69,Active,9/20/2024 0:00
4.01E+14,ef788792-4735-4f10-9c34-af9211fc4843,Active,9/20/2024 0:00
4.00E+14,804fe607-0b89-4aac-b2d0-609beab4062c,Active,9/20/2024 0:00
